TCP_Variant,Delay(ms),Loss(%),Run,Throughput(Mbps)
reno,10,0.1,1,3932.59
reno,10,0.1,2,3868.12
reno,10,0.1,3,3856.47
reno,10,0.1,4,17.07
reno,10,0.1,5,17.07
reno,10,0.1,6,3861.44
reno,10,0.1,7,3891.63
reno,10,0.1,8,3879.75
reno,10,0.1,9,3912.87
reno,10,0.1,10,3766.52
reno,10,0.1,11,3750.52
reno,10,0.1,12,3923.85
reno,10,0.1,13,4019.28
reno,10,0.1,14,3861.62
reno,10,0.1,15,3872.49
reno,10,0.1,16,17.06
reno,10,0.1,17,3909.31
reno,10,0.1,18,17.57
reno,10,0.1,19,17.14
reno,10,0.1,20,17.13
reno,10,0.5,1,3856.12
reno,10,0.5,2,17.21
reno,10,0.5,3,17.13
reno,10,0.5,4,17.49
reno,10,0.5,5,3751.36
reno,10,0.5,6,3966.71
reno,10,0.5,7,17.45
reno,10,0.5,8,3751.40
reno,10,0.5,9,3733.24
reno,10,0.5,10,3741.74
reno,10,0.5,11,17.44
reno,10,0.5,12,2770.23
reno,10,0.5,13,3609.94
reno,10,0.5,14,3575.24
reno,10,0.5,15,3826.22
reno,10,0.5,16,17.44
reno,10,0.5,17,3865.98
reno,10,0.5,18,3836.54
reno,10,0.5,19,3901.40
reno,10,0.5,20,3705.70
reno,10,1,1,3859.31
reno,10,1,2,3880.74
reno,10,1,3,3146.23
reno,10,1,4,3713.16
reno,10,1,5,3724.95
reno,10,1,6,3622.10
reno,10,1,7,3892.44
reno,10,1,8,17.44
reno,10,1,9,17.44
reno,10,1,10,3750.27
reno,10,1,11,3893.79
reno,10,1,12,3927.98
reno,10,1,13,3944.05
reno,10,1,14,17.44
reno,10,1,15,17.44
reno,10,1,16,17.44
reno,10,1,17,17.45
reno,10,1,18,3724.71
reno,10,1,19,17.44
reno,10,1,20,17.44
reno,50,0.1,1,17.68
reno,50,0.1,2,17.44
reno,50,0.1,3,17.45
reno,50,0.1,4,3716.46
reno,50,0.1,5,3900.77
reno,50,0.1,6,3876.07
reno,50,0.1,7,17.44
reno,50,0.1,8,17.44
reno,50,0.1,9,3683.81
reno,50,0.1,10,17.44
reno,50,0.1,11,17.44
reno,50,0.1,12,17.44
reno,50,0.1,13,3858.16
reno,50,0.1,14,3898.41
reno,50,0.1,15,17.44
reno,50,0.1,16,17.44
reno,50,0.1,17,3887.75
reno,50,0.1,18,3876.16
reno,50,0.1,19,3861.09
reno,50,0.1,20,17.44
reno,50,0.5,1,3877.33
reno,50,0.5,2,3789.32
reno,50,0.5,3,3740.90
reno,50,0.5,4,3788.46
reno,50,0.5,5,3914.05
reno,50,0.5,6,17.44
reno,50,0.5,7,3870.26
reno,50,0.5,8,17.46
reno,50,0.5,9,17.44
reno,50,0.5,10,17.44
reno,50,0.5,11,17.44
reno,50,0.5,12,3825.78
reno,50,0.5,13,3702.02
reno,50,0.5,14,3828.75
reno,50,0.5,15,3631.37
reno,50,0.5,16,3705.37
reno,50,0.5,17,3629.78
reno,50,0.5,18,3722.14
reno,50,0.5,19,17.44
reno,50,0.5,20,3714.56
reno,50,1,1,3678.16
reno,50,1,2,17.44
reno,50,1,3,2670.63
reno,50,1,4,3816.38
reno,50,1,5,3892.53
reno,50,1,6,3845.16
reno,50,1,7,4015.58
reno,50,1,8,3873.84
reno,50,1,9,17.45
reno,50,1,10,17.44
reno,50,1,11,3868.57
reno,50,1,12,3878.76
reno,50,1,13,3931.83
reno,50,1,14,3777.63
reno,50,1,15,3621.24
reno,50,1,16,17.44
reno,50,1,17,3935.35
reno,50,1,18,3729.34
reno,50,1,19,16.88
reno,50,1,20,17.44
reno,100,0.1,1,17.46
reno,100,0.1,2,3759.17
reno,100,0.1,3,17.46
reno,100,0.1,4,2434.80
reno,100,0.1,5,3763.81
reno,100,0.1,6,3699.65
reno,100,0.1,7,17.14
reno,100,0.1,8,17.44
reno,100,0.1,9,17.44
reno,100,0.1,10,3888.29
reno,100,0.1,11,3876.70
reno,100,0.1,12,3695.17
reno,100,0.1,13,3689.00
reno,100,0.1,14,3744.66
reno,100,0.1,15,3831.63
reno,100,0.1,16,3790.86
reno,100,0.1,17,3810.40
reno,100,0.1,18,3726.77
reno,100,0.1,19,17.44
reno,100,0.1,20,3849.09
reno,100,0.5,1,3894.34
reno,100,0.5,2,17.54
reno,100,0.5,3,17.04
reno,100,0.5,4,3888.92
reno,100,0.5,5,17.44
reno,100,0.5,6,3653.00
reno,100,0.5,7,3725.28
reno,100,0.5,8,17.44
reno,100,0.5,9,17.44
reno,100,0.5,10,3938.59
reno,100,0.5,11,3941.55
reno,100,0.5,12,3852.22
reno,100,0.5,13,3701.29
reno,100,0.5,14,17.44
reno,100,0.5,15,3882.44
reno,100,0.5,16,3776.01
reno,100,0.5,17,3863.40
reno,100,0.5,18,17.44
reno,100,0.5,19,3768.80
reno,100,0.5,20,3704.97
reno,100,1,1,3828.05
reno,100,1,2,3897.96
reno,100,1,3,3792.48
reno,100,1,4,3698.59
reno,100,1,5,3844.19
reno,100,1,6,3873.92
reno,100,1,7,3993.16
reno,100,1,8,3859.58
reno,100,1,9,3852.75
reno,100,1,10,3887.39
reno,100,1,11,3923.11
reno,100,1,12,17.44
reno,100,1,13,3882.89
reno,100,1,14,3878.40
reno,100,1,15,3739.32
reno,100,1,16,17.44
reno,100,1,17,17.44
reno,100,1,18,17.44
reno,100,1,19,3707.01
reno,100,1,20,17.44
cubic,10,0.1,1,17.44
cubic,10,0.1,2,3804.01
cubic,10,0.1,3,3845.69
cubic,10,0.1,4,3883.88
cubic,10,0.1,5,3810.49
cubic,10,0.1,6,3736.40
cubic,10,0.1,7,3938.49
cubic,10,0.1,8,17.02
cubic,10,0.1,9,17.23
cubic,10,0.1,10,17.44
cubic,10,0.1,11,17.44
cubic,10,0.1,12,17.38
cubic,10,0.1,13,3769.65
cubic,10,0.1,14,3834.00
cubic,10,0.1,15,3873.92
cubic,10,0.1,16,3774.31
cubic,10,0.1,17,3592.36
cubic,10,0.1,18,3813.87
cubic,10,0.1,19,3837.77
cubic,10,0.1,20,3688.11
cubic,10,0.5,1,3910.68
cubic,10,0.5,2,3865.80
cubic,10,0.5,3,3866.34
cubic,10,0.5,4,3859.04
cubic,10,0.5,5,3729.09
cubic,10,0.5,6,3887.30
cubic,10,0.5,7,3828.66
cubic,10,0.5,8,3888.92
cubic,10,0.5,9,3917.07
cubic,10,0.5,10,3805.47
cubic,10,0.5,11,3776.69
cubic,10,0.5,12,3794.37
cubic,10,0.5,13,17.66
cubic,10,0.5,14,3906.76
cubic,10,0.5,15,3707.09
cubic,10,0.5,16,3850.28
cubic,10,0.5,17,3897.68
cubic,10,0.5,18,3759.60
cubic,10,0.5,19,3794.46
cubic,10,0.5,20,3819.86
cubic,10,1,1,3823.43
cubic,10,1,2,3896.69
cubic,10,1,3,3755.22
cubic,10,1,4,3856.65
cubic,10,1,5,3935.54
cubic,10,1,6,3874.55
cubic,10,1,7,4029.30
cubic,10,1,8,3694.68
cubic,10,1,9,3853.46
cubic,10,1,10,3895.33
cubic,10,1,11,3957.26
cubic,10,1,12,3701.29
cubic,10,1,13,3891.63
cubic,10,1,14,3726.20
cubic,10,1,15,3780.69
cubic,10,1,16,3885.41
cubic,10,1,17,17.69
cubic,10,1,18,3729.92
cubic,10,1,19,3738.48
cubic,10,1,20,3825.69
cubic,50,0.1,1,3943.31
cubic,50,0.1,2,3829.01
cubic,50,0.1,3,3752.78
cubic,50,0.1,4,3875.98
cubic,50,0.1,5,3683.73
cubic,50,0.1,6,3771.26
cubic,50,0.1,7,3743.41
cubic,50,0.1,8,3713.41
cubic,50,0.1,9,3848.42
cubic,50,0.1,10,3696.23
cubic,50,0.1,11,3720.16
cubic,50,0.1,12,3858.78
cubic,50,0.1,13,3709.63
cubic,50,0.1,14,3690.30
cubic,50,0.1,15,3842.16
cubic,50,0.1,16,3879.75
cubic,50,0.1,17,17.47
cubic,50,0.1,18,3886.67
cubic,50,0.1,19,3861.35
cubic,50,0.1,20,3891.72
cubic,50,0.5,1,3922.84
cubic,50,0.5,2,3808.58
cubic,50,0.5,3,17.61
cubic,50,0.5,4,3846.04
cubic,50,0.5,5,3736.57
cubic,50,0.5,6,3845.51
cubic,50,0.5,7,3887.03
cubic,50,0.5,8,3739.40
cubic,50,0.5,9,3859.13
cubic,50,0.5,10,3898.95
cubic,50,0.5,11,3700.23
cubic,50,0.5,12,3718.10
cubic,50,0.5,13,3888.83
cubic,50,0.5,14,3897.41
cubic,50,0.5,15,17.18
cubic,50,0.5,16,3829.54
cubic,50,0.5,17,3729.18
cubic,50,0.5,18,3924.67
cubic,50,0.5,19,3694.93
cubic,50,0.5,20,3781.63
cubic,50,1,1,3855.14
cubic,50,1,2,3736.90
cubic,50,1,3,3902.22
cubic,50,1,4,3825.95
cubic,50,1,5,3846.04
cubic,50,1,6,3845.69
cubic,50,1,7,3810.66
cubic,50,1,8,3880.20
cubic,50,1,9,17.15
cubic,50,1,10,3668.27
cubic,50,1,11,3748.59
cubic,50,1,12,3853.37
cubic,50,1,13,3863.40
cubic,50,1,14,3902.22
cubic,50,1,15,3838.21
cubic,50,1,16,3845.25
cubic,50,1,17,3833.21
cubic,50,1,18,3913.05
cubic,50,1,19,17.35
cubic,50,1,20,17.02
cubic,100,0.1,1,3837.33
cubic,100,0.1,2,3876.07
cubic,100,0.1,3,3880.38
cubic,100,0.1,4,3868.83
cubic,100,0.1,5,3881.90
cubic,100,0.1,6,3829.97
cubic,100,0.1,7,3876.88
cubic,100,0.1,8,3830.41
cubic,100,0.1,9,3855.05
cubic,100,0.1,10,3858.25
cubic,100,0.1,11,17.21
cubic,100,0.1,12,3837.24
cubic,100,0.1,13,3872.14
cubic,100,0.1,14,3794.80
cubic,100,0.1,15,3902.49
cubic,100,0.1,16,3860.29
cubic,100,0.1,17,3865.27
cubic,100,0.1,18,3876.79
cubic,100,0.1,19,17.35
cubic,100,0.1,20,3900.22
cubic,100,0.5,1,3813.35
cubic,100,0.5,2,3686.97
cubic,100,0.5,3,3893.70
cubic,100,0.5,4,3652.77
cubic,100,0.5,5,3808.67
cubic,100,0.5,6,3898.14
cubic,100,0.5,7,3859.84
cubic,100,0.5,8,3777.63
cubic,100,0.5,9,3698.11
cubic,100,0.5,10,3828.75
cubic,100,0.5,11,3683.17
cubic,100,0.5,12,3872.40
cubic,100,0.5,13,3926.51
cubic,100,0.5,14,3642.23
cubic,100,0.5,15,3807.29
cubic,100,0.5,16,3763.47
cubic,100,0.5,17,3907.85
cubic,100,0.5,18,3884.15
cubic,100,0.5,19,3918.07
cubic,100,0.5,20,3872.14
cubic,100,1,1,3726.83
cubic,100,1,2,3884.96
cubic,100,1,3,3889.28
cubic,100,1,4,3714.81
cubic,100,1,5,3912.04
cubic,100,1,6,3866.78
cubic,100,1,7,3883.34
cubic,100,1,8,3657.39
cubic,100,1,9,3673.57
cubic,100,1,10,3669.79
cubic,100,1,11,3878.40
cubic,100,1,12,3834.44
cubic,100,1,13,3695.58
cubic,100,1,14,3857.36
cubic,100,1,15,3921.83
cubic,100,1,16,3781.97
cubic,100,1,17,3747.67
cubic,100,1,18,3829.80
cubic,100,1,19,3697.45
cubic,100,1,20,17.71
